0,1,2,3,4,5,6,7,1,2,3,4,5
0216207,密碼學概論,競技程式設計(一),訊號與系統,組合語言與系統程式,數值方法,影像處理概論,數位訊號處理概論,無線網路,數位遊戲與學習,虛擬實境與擴增實境,高等UNIX程式設計,電腦動畫與特效
0216222,無線網路概論,網路通訊原理,密碼學概論,競技程式設計(一),電腦安全概論,物聯網應用設計與實作,數值方法,無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦動畫與特效,電腦視覺
0216228,競技程式設計(一),人工智慧概論,訊號與系統,組合語言與系統程式,物聯網應用設計與實作,數值方法,影像處理概論,數位遊戲與學習,虛擬實境與擴增實境,高等UNIX程式設計,電腦視覺,電腦動畫與特效
0216244,無線網路概論,密碼學概論,人工智慧概論,訊號與系統,組合語言與系統程式,物聯網應用設計與實作,數值方法,無線網路,數位遊戲與學習,電腦視覺,電腦動畫與特效,虛擬實境與擴增實境
0216246,密碼學概論,無線網路概論,競技程式設計(一),訊號與系統,影像處理概論,組合語言與系統程式,物聯網應用設計與實作,無線網路,數位遊戲與學習,虛擬實境與擴增實境,高等UNIX程式設計,電腦視覺
0216247,人工智慧概論,密碼學概論,競技程式設計(一),訊號與系統,組合語言與系統程式,數值方法,電路與電子學(二),無線網路,數位遊戲與學習,虛擬實境與擴增實境,高等UNIX程式設計,電腦視覺
0216248,密碼學概論,無線網路概論,競技程式設計(一),訊號與系統,組合語言與系統程式,物聯網應用設計與實作,數值方法,無線網路,數位遊戲與學習,虛擬實境與擴增實境,高等UNIX程式設計,電腦視覺
0216301,資料庫系統概論,無線網路概論,網路通訊原理,密碼學概論,競技程式設計(一),電腦安全概論,物聯網應用設計與實作,無線網路,虛擬實境與擴增實境,電腦視覺,電腦動畫與特效,高等UNIX程式設計
0216302,資料庫系統概論,密碼學概論,人工智慧概論,無線網路概論,競技程式設計(一),電腦安全概論,訊號與系統,無線網路,數位遊戲與學習,虛擬實境與擴增實境,高等UNIX程式設計,電腦視覺
0216303,資料庫系統概論,密碼學概論,無線網路概論,競技程式設計(一),電腦安全概論,組合語言與系統程式,影像處理概論,無線網路,數位遊戲與學習,虛擬實境與擴增實境,高等UNIX程式設計,電腦視覺
0216308,無線網路概論,電腦安全概論,物聯網應用設計與實作,數值方法,影像處理概論,數位訊號處理概論,科技創業與營運,無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦動畫與特效,電腦視覺
0216315,網路通訊原理,密碼學概論,無線網路概論,競技程式設計(一),電腦安全概論,物聯網應用設計與實作,組合語言與系統程式,無線網路,數位遊戲與學習,電腦視覺,高等UNIX程式設計,演算法
0216322,密碼學概論,無線網路概論,競技程式設計(一),電腦安全概論,訊號與系統,組合語言與系統程式,物聯網應用設計與實作,虛擬實境與擴增實境,高等UNIX程式設計,電腦視覺,電腦動畫與特效,作業系統設計與實作
0216323,無線網路概論,網路通訊原理,密碼學概論,競技程式設計(一),物聯網應用設計與實作,數值方法,組合語言與系統程式,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺
0216326,無線網路概論,競技程式設計(一),電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺
0216330,資料庫系統概論,網路通訊原理,無線網路概論,人工智慧概論,競技程式設計(一),組合語言與系統程式,物聯網應用設計與實作,無線網路,數位遊戲與學習,高等UNIX程式設計,虛擬實境與擴增實境,電腦視覺
0216338,無線網路概論,網路通訊原理,競技程式設計(一),電腦安全概論,物聯網應用設計與實作,組合語言與系統程式,數值方法,無線網路,數位遊戲與學習,電腦動畫與特效,電腦視覺,高等UNIX程式設計
0216341,無線網路概論,網路通訊原理,密碼學概論,競技程式設計(一),電腦安全概論,組合語言與系統程式,物聯網應用設計與實作,虛擬實境與擴增實境,電腦視覺,高等UNIX程式設計,電腦動畫與特效,演算法
0310002,資料庫系統概論,網路通訊原理,密碼學概論,人工智慧概論,電腦安全概論,無線網路概論,訊號與系統,無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦視覺,高等UNIX程式設計
0310009,資料庫系統概論,網路通訊原理,密碼學概論,人工智慧概論,電腦安全概論,無線網路概論,訊號與系統,無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦視覺,高等UNIX程式設計
0310511,網路通訊原理,無線網路概論,人工智慧概論,訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦動畫與特效,電腦視覺
