0,1,2,3,4,5,6,7,8,9,10
0216248,無線網路,數位遊戲與學習,虛擬實境與擴增實境,高等UNIX程式設計,電腦視覺,電腦動畫與特效,演算法,作業系統設計與實作,使用者經驗與易用性評估,人工智慧
0216301,無線網路,虛擬實境與擴增實境,電腦視覺,電腦動畫與特效,高等UNIX程式設計,演算法,使用者經驗與易用性評估,作業系統設計與實作,人工智慧,演化計算
0216302,無線網路,數位遊戲與學習,虛擬實境與擴增實境,高等UNIX程式設計,電腦視覺,電腦動畫與特效,作業系統設計與實作,使用者經驗與易用性評估,演算法,人工智慧
0216303,無線網路,數位遊戲與學習,虛擬實境與擴增實境,高等UNIX程式設計,電腦視覺,電腦動畫與特效,作業系統設計與實作,演算法,使用者經驗與易用性評估,人工智慧
0216308,無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦動畫與特效,電腦視覺,演算法,高等UNIX程式設計,使用者經驗與易用性評估,演化計算,編譯器設計
0216315,無線網路,數位遊戲與學習,電腦視覺,高等UNIX程式設計,演算法,使用者經驗與易用性評估,作業系統設計與實作,人工智慧,演化計算,深度學習與實務
0216322,虛擬實境與擴增實境,高等UNIX程式設計,電腦視覺,電腦動畫與特效,作業系統設計與實作,演算法,使用者經驗與易用性評估,人工智慧,演化計算,深度學習與實務
0216323,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,演算法,使用者經驗與易用性評估,演化計算,編譯器設計,作業系統設計與實作
0216326,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,演算法,高等UNIX程式設計,編譯器設計,演化計算,深度學習與實務
0216330,無線網路,數位遊戲與學習,高等UNIX程式設計,虛擬實境與擴增實境,電腦視覺,電腦動畫與特效,演算法,作業系統設計與實作,使用者經驗與易用性評估,人工智慧
0216338,無線網路,數位遊戲與學習,電腦動畫與特效,電腦視覺,高等UNIX程式設計,演算法,作業系統設計與實作,使用者經驗與易用性評估,人工智慧,演化計算
0216341,虛擬實境與擴增實境,電腦視覺,高等UNIX程式設計,電腦動畫與特效,演算法,作業系統設計與實作,使用者經驗與易用性評估,人工智慧,演化計算,深度學習與實務
0310002,無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦視覺,高等UNIX程式設計,電腦動畫與特效,,,,
0310009,無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦視覺,高等UNIX程式設計,電腦動畫與特效,,,,
0310511,無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦動畫與特效,電腦視覺,演算法,高等UNIX程式設計,使用者經驗與易用性評估,演化計算,編譯器設計
0311020,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,高等UNIX程式設計,演算法,使用者經驗與易用性評估,作業系統設計與實作,編譯器設計
0311035,無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦動畫與特效,演算法,高等UNIX程式設計,使用者經驗與易用性評估,演化計算,編譯器設計,深度學習與實務
0311222,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,演算法,高等UNIX程式設計,使用者經驗與易用性評估,編譯器設計,作業系統設計與實作
0311241,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,演算法,高等UNIX程式設計,使用者經驗與易用性評估,編譯器設計,作業系統設計與實作
0311258,無線網路,數位遊戲與學習,高等UNIX程式設計,虛擬實境與擴增實境,電腦視覺,電腦動畫與特效,演算法,作業系統設計與實作,使用者經驗與易用性評估,人工智慧
0311274,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,高等UNIX程式設計,演算法,使用者經驗與易用性評估,作業系統設計與實作,人工智慧
0311550,數位遊戲與學習,虛擬實境與擴增實境,高等UNIX程式設計,電腦視覺,電腦動畫與特效,作業系統設計與實作,演算法,使用者經驗與易用性評估,人工智慧,演化計算
0311614,無線網路,數位遊戲與學習,虛擬實境與擴增實境,高等UNIX程式設計,電腦視覺,電腦動畫與特效,作業系統設計與實作,使用者經驗與易用性評估,人工智慧,演化計算
0312012,無線網路,數位遊戲與學習,虛擬實境與擴增實境,高等UNIX程式設計,電腦動畫與特效,電腦視覺,演算法,作業系統設計與實作,使用者經驗與易用性評估,人工智慧
0312203,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,演算法,使用者經驗與易用性評估,編譯器設計,演化計算,作業系統設計與實作,深度學習與實務
0312209,無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦動畫與特效,電腦視覺,演算法,高等UNIX程式設計,使用者經驗與易用性評估,作業系統設計與實作,演化計算
0312236,無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦動畫與特效,電腦視覺,高等UNIX程式設計,演算法,使用者經驗與易用性評估,作業系統設計與實作,人工智慧
0312238,數位遊戲與學習,虛擬實境與擴增實境,電腦動畫與特效,電腦視覺,演算法,高等UNIX程式設計,使用者經驗與易用性評估,演化計算,編譯器設計,深度學習與實務
0312510,無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦視覺,高等UNIX程式設計,電腦動畫與特效,,,,
0312512,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,演算法,高等UNIX程式設計,使用者經驗與易用性評估,編譯器設計,演化計算
0312546,數位遊戲與學習,高等UNIX程式設計,虛擬實境與擴增實境,電腦視覺,電腦動畫與特效,演算法,作業系統設計與實作,使用者經驗與易用性評估,人工智慧,演化計算
0313335,無線網路,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,高等UNIX程式設計,演算法,使用者經驗與易用性評估,作業系統設計與實作,編譯器設計,人工智慧
0313342,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,演算法,高等UNIX程式設計,使用者經驗與易用性評估,編譯器設計,演化計算,深度學習與實務,人工智慧
0313354,無線網路,數位遊戲與學習,電腦動畫與特效,電腦視覺,虛擬實境與擴增實境,演算法,高等UNIX程式設計,使用者經驗與易用性評估,作業系統設計與實作,編譯器設計
0313404,無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦動畫與特效,電腦視覺,高等UNIX程式設計,使用者經驗與易用性評估,演化計算,編譯器設計,深度學習與實務
0313415,無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦視覺,高等UNIX程式設計,電腦動畫與特效,演算法,作業系統設計與實作,使用者經驗與易用性評估,人工智慧
0316001,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,演算法,高等UNIX程式設計,使用者經驗與易用性評估,編譯器設計,演化計算
0316002,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,演算法,高等UNIX程式設計,使用者經驗與易用性評估,編譯器設計,演化計算
0316003,無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦動畫與特效,高等UNIX程式設計,電腦視覺,演算法,作業系統設計與實作,使用者經驗與易用性評估,人工智慧
0316004,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,演算法,高等UNIX程式設計,使用者經驗與易用性評估,編譯器設計,演化計算
0316005,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,演算法,高等UNIX程式設計,編譯器設計,作業系統設計與實作,演化計算
0316006,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,高等UNIX程式設計,演算法,使用者經驗與易用性評估,作業系統設計與實作,編譯器設計
0316007,無線網路,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,演算法,高等UNIX程式設計,使用者經驗與易用性評估,編譯器設計,演化計算,深度學習與實務
0316010,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,演算法,高等UNIX程式設計,使用者經驗與易用性評估,編譯器設計,作業系統設計與實作,演化計算
0316011,無線網路,虛擬實境與擴增實境,電腦動畫與特效,電腦視覺,演算法,高等UNIX程式設計,使用者經驗與易用性評估,作業系統設計與實作,編譯器設計,人工智慧
0316012,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,演算法,高等UNIX程式設計,使用者經驗與易用性評估,編譯器設計,作業系統設計與實作
0316013,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,高等UNIX程式設計,演算法,作業系統設計與實作,編譯器設計,演化計算
0316014,數位遊戲與學習,虛擬實境與擴增實境,電腦動畫與特效,電腦視覺,演算法,高等UNIX程式設計,使用者經驗與易用性評估,演化計算,編譯器設計,深度學習與實務
0316015,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,高等UNIX程式設計,演算法,使用者經驗與易用性評估,作業系統設計與實作,人工智慧,編譯器設計
0316016,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,演算法,高等UNIX程式設計,使用者經驗與易用性評估,編譯器設計,演化計算,作業系統設計與實作
0316017,無線網路,虛擬實境與擴增實境,電腦動畫與特效,高等UNIX程式設計,演算法,使用者經驗與易用性評估,作業系統設計與實作,編譯器設計,演化計算,深度學習與實務
0316018,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,演算法,使用者經驗與易用性評估,演化計算,編譯器設計,深度學習與實務,人工智慧
0316019,無線網路,數位遊戲與學習,虛擬實境與擴增實境,高等UNIX程式設計,電腦視覺,電腦動畫與特效,作業系統設計與實作,使用者經驗與易用性評估,演算法,人工智慧
0316020,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,演算法,高等UNIX程式設計,使用者經驗與易用性評估,編譯器設計,作業系統設計與實作,演化計算
0316023,無線網路,數位遊戲與學習,虛擬實境與擴增實境,高等UNIX程式設計,電腦動畫與特效,電腦視覺,演算法,作業系統設計與實作,使用者經驗與易用性評估,人工智慧
0316024,無線網路,數位遊戲與學習,電腦動畫與特效,演算法,高等UNIX程式設計,使用者經驗與易用性評估,編譯器設計,演化計算,作業系統設計與實作,深度學習與實務
0316025,無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦動畫與特效,電腦視覺,演算法,使用者經驗與易用性評估,演化計算,編譯器設計,深度學習與實務
0316026,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,演算法,高等UNIX程式設計,使用者經驗與易用性評估,編譯器設計,演化計算,人工智慧
0316027,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,演算法,高等UNIX程式設計,使用者經驗與易用性評估,編譯器設計,演化計算,作業系統設計與實作
0316028,無線網路,電腦動畫與特效,演算法,高等UNIX程式設計,使用者經驗與易用性評估,編譯器設計,演化計算,深度學習與實務,作業系統設計與實作,人工智慧
0316029,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺,演算法,高等UNIX程式設計,使用者經驗與易用性評估,編譯器設計,演化計算
