0,1,2,3,4,5,6,7,8,9,10
0016030,演算法,作業系統,計算機架構,計算機網路,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,圖形識別
0016031,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016032,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,圖形識別
0016033,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,圖形識別
0016034,演算法,作業系統,計算機架構,計算機網路,無線網路,人工智慧,電腦視覺,數位遊戲與學習,機器學習,圖形識別
0016035,演算法,計算機架構,計算機網路,人工智慧,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,虛擬實境與擴增實境,圖形識別
0016036,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,數位遊戲與學習,作業系統設計與實作,機器學習
0016037,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,圖形識別
0016038,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,無線網路,數位遊戲與學習,機器學習,作業系統設計與實作
0016039,演算法,計算機架構,無線網路,人工智慧,電腦視覺,數位遊戲與學習,機器學習,虛擬實境與擴增實境,圖形識別,電腦動畫與特效
0016040,演算法,作業系統,計算機架構,計算機網路,人工智慧,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,虛擬實境與擴增實境
0016041,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016042,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,機器學習,作業系統設計與實作,圖形識別
0016043,演算法,作業系統,計算機架構,計算機網路,無線網路,人工智慧,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016044,演算法,作業系統,計算機架構,計算機網路,人工智慧,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作
0016045,演算法,作業系統,計算機架構,無線網路,人工智慧,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,虛擬實境與擴增實境
0016046,演算法,作業系統,計算機架構,計算機網路,無線網路,電腦視覺,數位遊戲與學習,機器學習,作業系統設計與實作,虛擬實境與擴增實境
