0,1,2,3,4,5,6,7,8,9,10
0016032,無線網路概論,網路通訊原理,訊號與系統,影像處理概論,數值方法,競技程式設計(一),,,,
0016033,無線網路概論,電腦安全概論,訊號與系統,影像處理概論,嵌入式系統設計概論與實作,競技程式設計(一),,,,
0016034,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,競技程式設計(一),嵌入式系統設計概論與實作,物聯網應用設計與實作,,
0016035,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,競技程式設計(一),數值方法,物聯網應用設計與實作,,
0016036,資料庫系統概論,人工智慧概論,密碼學概論,組合語言與系統程式,電腦安全概論,訊號與系統,無線網路概論,影像處理概論,嵌入式系統設計概論與實作,數值方法
0016037,訊號與系統,網路通訊原理,影像處理概論,嵌入式系統設計概論與實作,競技程式設計(一),,,,,
0016038,無線網路概論,電腦安全概論,網路通訊原理,影像處理概論,數值方法,競技程式設計(一),,,,
0016039,人工智慧概論,密碼學概論,無線網路概論,電腦安全概論,網路通訊原理,影像處理概論,數值方法,競技程式設計(一),,
0016040,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,競技程式設計(一),,,,
0016041,無線網路概論,電腦安全概論,網路通訊原理,訊號與系統,影像處理概論,嵌入式系統設計概論與實作,競技程式設計(一),,,
0016042,無線網路概論,電腦安全概論,網路通訊原理,訊號與系統,影像處理概論,數值方法,競技程式設計(一),,,
0016043,無線網路概論,網路通訊原理,訊號與系統,影像處理概論,競技程式設計(一),數值方法,,,,
0016044,無線網路概論,電腦安全概論,訊號與系統,影像處理概論,競技程式設計(一),嵌入式系統設計概論與實作,,,,
0016045,無線網路概論,網路通訊原理,訊號與系統,影像處理概論,競技程式設計(一),數值方法,,,,
0016046,無線網路概論,網路通訊原理,訊號與系統,影像處理概論,競技程式設計(一),數值方法,,,,
0016047,無線網路概論,電腦安全概論,網路通訊原理,影像處理概論,數值方法,嵌入式系統設計概論與實作,競技程式設計(一),,,
0016048,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,競技程式設計(一),嵌入式系統設計概論與實作,,,
0016049,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,數值方法,競技程式設計(一),嵌入式系統設計概論與實作,,
0016050,無線網路概論,電腦安全概論,網路通訊原理,訊號與系統,影像處理概論,競技程式設計(一),嵌入式系統設計概論與實作,,,
0016051,無線網路概論,電腦安全概論,網路通訊原理,訊號與系統,影像處理概論,競技程式設計(一),嵌入式系統設計概論與實作,,,
